University,State,pretty name,State Abb,location name,food name,City,Type,Grad Program?,Pop (2020 Decennial Census),undergrad pop,city long,city lat,zip,uni. LONGITUDE,uni. LATITUDE,Monthly food,Appartment Mean,Appartment Min,Appartment Max,Gas,Avg spent on gas = avg miles driven / gas milage * gas cost,Avg gas/ month?,Total Cost,Monthly Cost of living + Yearly Maintencance cost,Min Cost,Max Cost
University of Mississippi,Mississippi,"Oxford, Mississippi",MS,Oxford Mississippi,Oxford-MS,Oxford,Flagship,yes,25416,15994,-89.5336,34.3627,38677-1848,-89.537,34.3655,315.9866667,1209.92,945,1499,2.69,1354.6,112.8833333,1638.79,2430.79,2165.87,2719.87
Miami University,Ohio,"Oxford, Ohio",OH,Oxford Ohio,Oxford-OH,Oxford,Flagship,yes,23035,16868,-84.7446,39.5061,45056,-84.733,39.5078,314.2533333,1226.22,810,1961.5,3.09,1556.03,129.6691667,1670.1425,2462.1425,2045.9225,3197.4225
University of North Carolina at Pembroke,North Carolina,"Pembroke, North Carolina",NC,Pembroke North Carolina,Pembroke-NC,Pembroke,Regional,yes,2823,6179,-79.1935,34.6766,28372-1510,-79.2,34.6883,315.9,757.5,690,825,3.29,1656.74,138.0616667,1211.461667,2003.461667,1935.961667,2070.961667
Pittsburg State University,Kansas,"Pittsburg, Kansas",KS,Pittsburg Kansas,Pittsburg-KS,Pittsburg,Regional,yes,20646,4292,-94.6985,37.4129,66762,-94.702,37.3921,315.9866667,686.5,475,845,2.89,1455.31,121.2758333,1123.7625,1915.7625,1704.2625,2074.2625
University of Wisconsin-Platteville,Wisconsin,"Platteville, Wisconsin",WI,Platteville Wisconsin,Platteville-WI,Platteville,Regional,yes,11836,6124,-90.4681,42.728,53818-3099,-90.486,42.7335,318.0666667,821.92,649,995,3.29,1656.74,138.0616667,1278.048333,2070.048333,1897.128333,2243.128333
SUNY Plattsburgh,New York,"Plattsburgh, New York",NY,Plattsburgh New York,Plattsburgh-NY,Plattsburgh,Regional,yes,19841,4286,-73.4563,44.6951,12901-2681,-73.467,44.6929,318.0666667,1873.5,850,2550,3.19,1606.38,133.865,2325.431667,3117.431667,2093.931667,3793.931667
Plymouth State University,New Hampshire,"Plymouth, New Hampshire",NH,Plymouth New Hampshire,Plymouth-NH,Plymouth,Regional,yes,6682,3486,43.7615,71.6863,03264-1595,-71.69,43.7596,313.7333333,1740,1622.5,1857.5,3.09,1556.03,129.6691667,2183.4025,2975.4025,2857.9025,3092.9025
Idaho State University,Idaho,"Pocatello, Idaho",ID,Pocatello Idaho,Pocatello-ID,Pocatello,Regional,yes,56320,6842,-112.465,42.8724,83209,-112.43,42.8638,314.08,933.5,625,1370,3.22,1621.49,135.1241667,1382.704167,2174.704167,1866.204167,2611.204167
Eastern New Mexico University,New Mexico,"Portales, New Mexico",NM,Portales New Mexico,Portales-NM,Portales,Regional,yes,12137,2861,-103.357,34.1754,88130,-103.35,34.1756,316.2466667,450,450,450,2.99,1505.67,125.4725,891.7191667,1683.719167,1683.719167,1683.719167
SUNY Potsdam,New York,"Potsdam, New York",NY,Potsdam New York,Potsdam-NY,Potsdam,Mix,yes,14901,2346,44.6615,74.973,13676-2294,-74.974,44.6621,318.0666667,1124.75,910,1275,3.54,1782.63,148.5525,1591.369167,2383.369167,2168.619167,2533.619167
