University,State,pretty_name,State_Abb,location_name,food_name,City,Type,Has_Grad_Program,city_pop,undergrad_pop,city_long,city_lat,zip,uni_long,uni_lat,Monthly_food,appartment_mean_cost,Appartment_Min,Appartment_Max,Gas,gas_per_month,Car_Maintenance,Total_Cost,Min_Cost,Max_Cost
California University of Pennsylvania,Pennsylvania,"California, Pennsylvania",PA,California Pennsylvania,California-PA,California,Regional,yes,5362,4314,-79.9152,40.0692,15419-1394,-79.887,40.065,316.33,1021.77,712.5,1572.5,3.69,154.3287327,66,1558.428733,1249.158733,
Carleton College,Minnesota,"Northfield, Minnesota",MN,Northfield Minnesota,Northfield-MN,Northfield,Mix,yes,20790,2008,-93.1698,44.455,55057,-93.155,44.4623,320.67,1400.62,710,2150,3.25,135.9263906,66,1923.216391,1232.596391,
Central Michigan University,Michigan,"Mount Pleasant, Michigan",MI,Mount Pleasant Michigan,Mount-Pleasant-MI,Mount Pleasant,Regional,yes,21688,11323,-84.7759,43.5966,48859,-84.775,43.5912,317.2,845.31,705,1072.5,3.44,143.8728565,66,1372.382857,1232.072857,
Central Washington University,Washington,"Ellensburg, Washington",WA,Ellensburg Washington,Ellensburg-WA,Ellensburg,Regional,yes,18666,9508,-120.548,46.9999,98926,-120.54,47.0027,316.75,1029,840,1450,3.89,162.6934337,66,1574.443434,1385.443434,
Clarion University of Pennsylvania,Pennsylvania,"Clarion, Pennsylvania",PA,Clarion Pennsylvania,Clarion-PA,Clarion,Regional,yes,3931,3071,-79.3803,41.2106,16214,-79.378,41.2078,316.33,557.5,557.5,557.5,3.49,145.9640318,66,1085.794032,1085.794032,
Clemson University,South Carolina,"Clemson, South Carolina",SC,Clemson South Carolina,Clemson-SC,Clemson,Land grant,yes,17681,21577,-82.8124,34.6837,29634,-82.835,34.6794,320.02,1125.88,655,1700,3.01,125.8887495,66,1637.788749,1166.908749,
Colorado State University-Fort Collins,Colorado,"Fort Collins, Colorado",CO,Fort Collins Colorado,Fort-Collins-CO,Fort Collins,Regional,yes,169810,24344,-105.066,40.5477,80523-0100,-105.08,40.5748,312.78,1776.29,1093.5,3276,3.91,163.5299038,66,2318.599904,1635.809904,
Dakota State University,South Dakota,"Madison, South Dakota",SD,Madison South Dakota,Madison-SD,Madison,Regional,yes,6191,1910,-97.1085,44.0062,57042-1799,-97.113,44.013,321.53,877.5,877.5,877.5,2.99,125.0522794,66,1390.082279,1390.082279,
East Carolina University,North Carolina,"Greenville, North Carolina",NC,Greenville North Carolina,Greenville-NC,Greenville,Regional,yes,87521,21231,-77.376,35.5943,27858-4353,-77.368,35.6072,318.07,1011.04,670,1430,3.19,133.4169803,66,1528.52698,1187.48698,
East Stroudsburg University of Pennsylvania,Pennsylvania,"East Stroudsburg, Pennsylvania",PA,East Stroudsburg Pennsylvania,East-Stroudsburg-PA,East Stroudsburg,Regional,yes,9669,4275,-75.1779,41.0023,18301-2999,-75.174,40.996,320.23,1796.9,1410,2470,3.5,146.3822668,66,2329.512267,1942.612267,
Eastern Connecticut State University,Connecticut,"Willimantic, Connecticut",CT,Willimantic Connecticut,Willimantic-CT,Willimantic,Regional,yes,18149,3767,-72.2114,41.7171,6226,-72.219,41.7217,316.77,1746.17,1100,2437.5,3.19,133.4169803,66,2262.35698,1616.18698,
Eastern Illinois University,Illinois,"Charleston, Illinois",IL,Charleston Illinois,Charleston-IL,Charleston,Regional,yes,17286,4616,-88.1781,39.4842,61920,-88.176,39.4798,349.01,643.6,383,885,3.45,144.2910916,66,1202.901092,942.3010916,
Eastern Kentucky University,Kentucky,"Richmond, Kentucky",KY,Richmond Kentucky,Richmond-KY,Richmond,Regional,yes,34585,10987,-84.2925,37.7307,40475-3102,-84.301,37.7408,312.09,834,600,1299,3.19,133.4169803,66,1345.50698,1111.50698,
Eastern Michigan University,Michigan,"Ypsilanti, Michigan",MI,Ypsilanti Michigan,Ypsilanti-MI,Ypsilanti,Regional,yes,20648,12344,-83.6208,42.244,48197,-83.627,42.2517,318.5,1130.15,715,1738,3.27,136.7628607,66,1651.412861,1236.262861,
Eastern New Mexico University,New Mexico,"Portales, New Mexico",NM,Portales New Mexico,Portales-NM,Portales,Regional,yes,12137,2861,-103.357,34.1754,88130,-103.35,34.1756,316.25,450,450,450,2.99,125.0522794,66,957.3022794,957.3022794,
Eastern Washington University,Washington,"Cheney, Washington",WA,Cheney Washington,Cheney-WA,Cheney,Regional,yes,13255,7589,-117.579,47.4901,99004-2496,-117.58,47.4907,316.75,937.88,572,1175,3.69,154.3287327,66,1474.958733,1109.078733,
Edinboro University of Pennsylvania,Pennsylvania,"Edinboro, Pennsylvania",PA,Edinboro Pennsylvania,Edinboro-PA,Edinboro,Regional,yes,4964,2779,-80.1247,41.8762,16444-0001,-80.121,41.8707,315.99,950.86,582.5,2093,3.69,154.3287327,66,1487.178733,1118.818733,
Empire State University,New York,"Saratoga Springs, New York",NY,Saratoga Springs New York,Saratoga-Springs-NY,Saratoga Springs,Mix,yes,28491,7289,-73.7775,43.0674,12866-4391,-73.782,43.0773,317.2,1898.31,1300,3060,3.44,143.8728565,66,2425.382857,1827.072857,
Emporia State University,Kansas,"Emporia, Kansas",KS,Emporia Kansas,Emporia-KS,Emporia,Regional,yes,24139,2859,-96.1932,38.4028,66801-5415,-96.179,38.4148,318.15,581.57,370,771,2.99,125.0522794,66,1090.772279,879.2022794,
Fairmont State University,West Virginia,"Fairmont, West Virginia",WV,Fairmont West Virginia,Fairmont-WV,Fairmont,Regional,yes,18416,2908,-80.1491,39.4768,26554-2470,-80.162,39.4831,314.17,999.43,532,1902.5,3.39,141.7816813,66,1521.381681,1053.951681,
Ferris State University,Michigan,"Big Rapids, Michigan",MI,Big Rapids Michigan,Big-Rapids-MI,Big Rapids,Regional,yes,7727,8810,-85.4806,43.6992,49307-2251,-85.482,43.6877,317.89,1299,1299,1299,3.49,145.9640318,66,1828.854032,1828.854032,
Florida A & M University,Florida,"Tallahassee, Florida",FL,Tallahassee Florida,Tallahassee-FL,Tallahassee,Mix,yes,196169,7005,-84.2527,30.4551,32307,-84.29,30.4285,350.74,1312.06,815,2145.5,3.39,141.7816813,66,1870.581681,1373.521681,
Florida State University,Florida,"Tallahassee, Florida",FL,Tallahassee Florida,Tallahassee-FL,Tallahassee,Mix,yes,196169,33368,-84.2527,30.4551,32306-1037,-84.295,30.4431,350.74,1312.06,815,2145.5,3.39,141.7816813,66,1870.581681,1373.521681,
Fort Lewis College,Colorado,"Durango, Colorado",CO,Durango Colorado,Durango-CO,Durango,Regional,yes,19071,3260,-107.878,37.2659,81301-3999,-107.87,37.2759,316.68,1750.25,1565,1962,3.23,135.0899205,66,2268.019921,2082.769921,
Fort Valley State University,Georgia,"Fort Valley, Georgia",GA,Fort Valley Georgia,Fort-Valley-GA,Fort Valley,Black,yes,8780,2635,-83.8817,32.552,31030-4313,-83.895,32.5376,312.87,1126.91,679,1744,3.09,129.2346299,66,1635.01463,1187.10463,
Frostburg State University,Maryland,"Frostburg, Maryland",MD,Frostburg Maryland,Frostburg-MD,Frostburg,Regional,yes,7027,3289,-78.9269,39.6506,21532-1099,-78.934,39.6509,316.33,912.25,767.5,1057,3.37,140.9452112,66,1435.525211,1290.775211,
Georgia College & State University,Georgia,"Milledgeville, Georgia",GA,Milledgeville Georgia,Milledgeville-GA,Milledgeville,Regional,yes,17070,5489,-83.2414,33.0874,31061,-83.232,33.0828,317.85,952.12,669,1409,3.05,127.5616897,66,1463.53169,1180.41169,
Georgia Southern University,Georgia,"Statesboro, Georgia",GA,Statesboro Georgia,Statesboro-GA,Statesboro,Regional,yes,33438,22404,-81.7751,32.4375,30460-8126,-81.784,32.4262,318.07,1045.83,737.5,1510,3.1,129.6528649,66,1559.552865,1251.222865,
Grambling State University,Louisiana,"Grambling, Louisiana",LA,Grambling Louisiana,Grambling-LA,Grambling,Black,yes,5239,4405,-92.7124,32.5275,71245,-92.713,32.5238,320.32,795,595,1220,2.94,122.9611041,66,1304.281104,1104.281104,
